author,follower_ct,friends_count,favourites_count,verified
707304985495805952,58
707266734424788992,23
98543618,14543
16957443,3433
15513604,569432
229992790,6713
722328013736574976,
17997831,1721
141942792,1270
4591396873,64
939616267,188
825772045,6282
21301933,15393
504129552,1175
48799761,5745
25393191,1441
2924158996,
36890646,23979
594062359,434
603074585,474
38652595,592
3295325530,112
1218566174,2655
17901573,407
292374563,22421
196452389,313
17066022,7443
2352351271,184
21428264,74015
15786332,2442
546744362,349
20268039,935
18013192,79
227819570,738
1595026099,60
3307778821,1126
280664117,12840
17920055,5904
617246776,25191
51730100,87
3677775437,5542
14377023,2095
752404544,
1965903937,
2998408203,546672
2340679891,51
1199596897,5131
312248392,12221
22216777,905
3973558348,427
20021325,2398
222242894,508
216810509,3865
766728272,243
2928443473,27
54257746,2284
260819116,140
60100694,1493
417603671,360
547969112,113233
1214302297,16
621299727,511
2196815964,6377
3914047581,24359
264861791,704
128450657,1975
90077282,11175
109320292,657
1570407782,653
2595467366,1742
236054545,2373
18165865,4932
174743659,688
1595002988,61
437019753,11557
1258217582,1469
59500657,24430
373397618,4559
1214290622,12
411621494,3633
55072887,382
75939860,11747
17703035,1698
92995708,4057
21688445,2013
1214283902,
14669951,933442
128833664,2041
4627478657,5618
36690283,4823
3300847748,484
2976014469,2027
709357254131191808,14
138223751,294
3015604913,5929
5392522,5908321
4719313943,
312149882,71596
17759597,9075
3669655696,2248
3086975121,4021
95463107,27098
762534037,8284
1214300311,13
17322445,30250
1553039516,2712
3890391197,2
16734667,9597
16181407,38
55046304,144
22659233,888
314243234,20661
5849252,1032
2344222885,1505
3270783145,598
67088479,3101
19101867,5395
322031788,1560
2721114285,110
3024050350,
14677751,18652
2649147763,31
15676749,2857
807095,27900360
17814534,7685
30041119,4589
3020705981,1803
3293418220,20
102793411,1389
749748420,12270
24054719,3052
143599815,3302
727088844,3193
246362315,3719
124227622,8931
3246654606,22
237033680,2625
336041336,354
31330515,1876
265023700,5099
49688789,1359
281282774,9324
32789881,1054
2488510680,394
188092633,50379
2330112218,1102
561614650,3111
306251996,1656
3020691677,1304
4876609759,1889
19861848,3540
17740704,685
25655525,157
20150502,162065
137036008,38380
3702803836,1656
24481831,80065
700478162,1175
2370959600,2927
4708373603,911
90427636,256
3890650283,2
395555062,2957
55038199,68
11182932,3176
3321571577,
19107878,50237
329764906,1381
419926270,8937
27202261,1200
1382371712,1178
38091010,829
950531,22160
18565846,1326
1855461638,1258
179912967,3269
37036297,3070
66722060,1629
19791234,13547
4198314254,
191463695,5474
21842781,5765
47859478,1743
35606154,72471
537846035,
3407565077,180
216773337,249
31037199,9987
25667531,1321
4070056218,519
17123611,5427
32315679,1375
534671648,1779
211411233,373
1740060962,181
3024046372,
390914341,17826
9300262,1586188
1214281800,442
1858738472,59
973517532,636
33773867,686
45070636,9912
1214300462,
361342191,134675
2819971380,4320
1964112182,8676
32283017,19587
216179001,6
1132012321,3342
389759292,5325
3198794045,10096
1595003198,59
3130914869,10828
145213760,790
149984992,7582
3192082754,2949
22412777,671
15905092,31555
1424605753,3778
21360968,1891
222695753,212
390381898,522
3270951991,1747
95568205,982
18363321,17
973542421,1075
3585493334,254
40083800,1654
9567972,292964
18383195,29580
118190428,100906
2887967069,1408
220582239,2443
3412326753,3632
467726691,13974
3889387876,2
35402085,48462
364540263,154
74353000,464
86129724,97730
14774634,991
1404360181,12353
56205676,17
4664404333,
973554031,1016
135975280,2514
3241726321,8021
2884903283,3749
849342841,3210
3890143611,1
249880957,1047
23816574,404
27404671,30811
66050432,927
4729317440,
2600503818,43
22313347,5729
720896389,9134
48122327,917
398862727,44
2754165128,54
16261513,7304
198646850,
1595007374,58
394811791,3074
860629392,925
11188632,3212
241983890,4240
4066232723,558
4704468684,69
2922367381,119846
8442262,608
23345560,1383
1214306713,9
485018010,3405
110226860,725
16953756,5551
246667561,5408
2458112414,3533
54065567,18195
930808560,5446
3317219751,944
121010601,459
36741547,14096
118886828,
87046573,240
90083759,459
17351088,1176
2504417352,913
709198227384324096,19
211300788,342
42119605,3890
